id_subsls,kd_prov,kd_kab,kd_kec,kd_desa,kd_sls,nama_prov,nama_kab,nama_kec,nama_desa,nama_sls,kd_pos
7103050010000200,71,03,050,010,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,BINALA,LINDONGAN 02,95855
7103101001000100,71,03,101,001,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,NUSA TABUKAN,NUSA,LINDONGAN 01,95842
7103110004000100,71,03,110,004,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,KENDAHE,TARIANGLAMA,LINDONGAN 01,95852
7103050010000300,71,03,050,010,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,BINALA,LINDONGAN 03,95855
7103041002000100,71,03,041,002,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,MAHENGETANG,LINDONGAN 1,95851
7103041005000300,71,03,041,005,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,DALAKO BEMBANAHE,LINDONGAN 3,95851
7103041004000400,71,03,041,004,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,KALAMA,LINDONGAN 4,95851
7103041005000400,71,03,041,005,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,DALAKO BEMBANAHE,LINDONGAN 4,95851
7103090008000900,71,03,090,008,0009,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,APENG SEMBEKA,RT 09 LINGKUNGAN 4,95811
7103100004000400,71,03,100,004,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BOWONGKULU,LINDONGAN 04,95856
7103060020000100,71,03,060,020,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,LESABE I,LINDONGAN 1,95858
7103070001000300,71,03,070,001,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN TENGAH,BOWONGKALI,LINDONGAN 03,95857
7103041007000100,71,03,041,007,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,PARA I,LINDONGAN 1,95851
7103050010000100,71,03,050,010,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,BINALA,LINDONGAN 01,95855
7103060013000300,71,03,060,013,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,BATUWINGKUNG,LINDONGAN 3,95858
7103061006000200,71,03,061,006,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,BOWONE,LINDONGAN 02,95859
7103100004000100,71,03,100,004,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BOWONGKULU,LINDONGAN 01,95856
7103100004000200,71,03,100,004,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BOWONGKULU,LINDONGAN 02,95856
7103092001000200,71,03,092,001,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA BARAT,PANANEKENG,RT 02 LINGKUNGAN I,95811
7103092004000700,71,03,092,004,0007,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA BARAT,BEHA,RT 07 LINGKUNGAN II,95818
7103110008000400,71,03,110,008,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,KENDAHE,KAWALUSO,LINDONGAN 04,95852
7103061004000100,71,03,061,004,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,SALURANG,LINDONGAN 01,95859
7103060020000200,71,03,060,020,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,LESABE I,LINDONGAN 2,95858
7103100004000300,71,03,100,004,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BOWONGKULU,LINDONGAN 03,95856
7103080001000300,71,03,080,001,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKALANG,LINDONGAN 03,95853
7103090012000900,71,03,090,012,0009,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,BUNGALAWANG,RT 09 LINGKUNGAN 3,95811
7103090012000400,71,03,090,012,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,BUNGALAWANG,RT 04 LINGKUNGAN 2,95811
7103091005000100,71,03,091,005,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 01 LINGKUNGAN 1,95816
7103080001000400,71,03,080,001,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKALANG,LINDONGAN 04,95853
7103080001000200,71,03,080,001,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKALANG,LINDONGAN 02,95853
7103041006000200,71,03,041,006,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,TALEKO BATUSAIKI,LINDONGAN 2,95851
7103090012001000,71,03,090,012,0010,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,BUNGALAWANG,RT 10 LINGKUNGAN 4,95811
7103060015000100,71,03,060,015,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,BENTUNG,LINDONGAN 1,95858
7103050006000600,71,03,050,006,0006,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,DAGHO,LINDONGAN 06,95855
7103041007000200,71,03,041,007,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,PARA I,LINDONGAN 2,95851
7103090012000800,71,03,090,012,0008,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,BUNGALAWANG,RT 08 LINGKUNGAN 3,95811
7103070001000200,71,03,070,001,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN TENGAH,BOWONGKALI,LINDONGAN 02,95857
7103080001200100,71,03,080,001,2001,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKALANG,HUTAN LINDUNG,95853
7103080001000100,71,03,080,001,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKALANG,LINDONGAN 01,95853
7103080002200100,71,03,080,002,2001,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BELENGANG,HUTAN LINDUNG,95853
7103040005000300,71,03,040,005,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU SELATAN,BEBALANG,LINDONGAN 003,95854
7103050006000500,71,03,050,006,0005,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,DAGHO,LINDONGAN 05,95855
7103062004000300,71,03,062,004,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGGARA,DALOKAWENG,LINDONGAN 03,95850
7103091005000800,71,03,091,005,0008,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 08 LINGKUNGAN 3,95816
7103091005000300,71,03,091,005,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 03 LINGKUNGAN 1,95816
7103091005000900,71,03,091,005,0009,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 09 LINGKUNGAN 3,95816
7103091005000500,71,03,091,005,0005,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 05 LINGKUNGAN 2,95816
